,YEAR,COUNTY_DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,ENROLLMENT_GRADES_K_12,JANUARY_MEMBERSHIP,LUNCH_COUNT_FREE_REDUCED,LUNCH_COUNT_FREE_REDUCTED_PCT,ENROLLMENT_ASIAN,ENROLLMENT_ASIAN_PCT,ENROLLMENT_ASIAN_PACIFIC_ISLANDER,ENROLLMENT_ASIAN_PACIFIC_ISLANDER_PCT,ENROLLMENT_BLACK,ENROLLMENT_BLACK_PCT,ENROLLMENT_HISPANIC,ENROLLMENT_HISPANIC_PCT,ENROLLMENT_INDIAN,ENROLLMENT_INDIAN_PCT,ENROLLMENT_MULTIRACIAL,ENROLLMENT_MULTIRACIAL_PCT,ENROLLMENT_PACIFIC_ISLANDER,ENROLLMENT_PACIFIC_ISLANDER_PCT,ENROLLMENT_WHITE,ENROLLMENT_WHITE_PCT,ENROLLMENT_ELL_LEP,ENROLLMENT_ELL_LEP_PCT,ENROLLMENT_GRADE_PK_ELL_LEP,ENROLLMENT_GRADE_PK_ELL_LEP_PCT,IEP_SCHOOLAGE_CHILDCOUNT,IEP_INCIDENCE_RATE,LUNCH_COUNT_FREE_REDUCED_PCT,SCHADDR1,SCHADDR2,SCHCITY,SCHZIP,SCHLPHON,SCHLFAX,BGRADE,EGRADE,SCHTTEACH,SCHENRR,SCHENRNR,SCHTENR,ELEMENTARY_SCHOOL_FLAG,MIDDLE_SCHOOL_FLAG,JUNIOR_HIGH_SCHOOL_FLAG,HIGH_SCHOOL_FLAG,AVTS_FLAG,ALTERNATIVE_SCHOOL_FLAG,FULL_CODE,CHARTER,MAGNET,ALTERNATIVE,lat,lng
467,2019,115115,ST. LOUIS CITY,3050,BUSCH MS CHARACTER & ATHLETICS,372,359.0,*,,17,4.57,,,194,52.15,60,16.13,*,*,*,*,*,*,100,26.88,69,18.55,*,*,77,20.7,*,5910 Clifton Avenue,,St. Louis ,631093407,3143521043.0,3143523685.0,6,8,32.0,419.0,0.0,419.0, ,Y, , , , ,115-115-3050,False,True,False,38.57793500580729,-90.29724202598317
468,2020,115115,ST. LOUIS CITY,3050,BUSCH MS CHARACTER & ATHLETICS,408,409.0,*,,19,4.66,,,230,56.37,67,16.42,*,*,*,*,*,*,92,22.55,87,21.32,*,*,73,17.89,*,5910 Clifton Avenue,,St. Louis ,631093407,3143521043.0,3143523685.0,6,8,32.0,419.0,0.0,419.0, ,Y, , , , ,115-115-3050,False,True,False,38.57793500580729,-90.29724202598317
469,2000,115115,ST. LOUIS CITY,3070,CARR LANE VPA MIDDLE,618,601.0,449,74.7,,,*,*,395,63.92,*,*,*,*,*,*,,,215,34.79,*,*,*,*,*,*,,1004 N Jefferson Avenue,,St. Louis ,631062203,3142310413.0,3142411213.0,6,8,39.0,447.0,0.0,447.0, ,Y, , , , ,115-115-3070,False,True,False,38.6393570055437,-90.2120450093467
470,2001,115115,ST. LOUIS CITY,3070,CARR LANE VPA MIDDLE,641,632.0,469,74.2,,,*,*,410,63.96,9,1.4,*,*,*,*,,,215,33.54,*,*,*,*,*,*,,1004 N Jefferson Avenue,,St. Louis ,631062203,3142310413.0,3142411213.0,6,8,39.0,447.0,0.0,447.0, ,Y, , , , ,115-115-3070,False,True,False,38.6393570055437,-90.2120450093467
471,2002,115115,ST. LOUIS CITY,3070,CARR LANE VPA MIDDLE,618,596.0,466,78.2,,,*,*,404,65.37,14,2.27,*,*,*,*,,,195,31.55,*,*,*,*,*,*,,1004 N Jefferson Avenue,,St. Louis ,631062203,3142310413.0,3142411213.0,6,8,39.0,447.0,0.0,447.0, ,Y, , , , ,115-115-3070,False,True,False,38.6393570055437,-90.2120450093467
472,2003,115115,ST. LOUIS CITY,3070,CARR LANE VPA MIDDLE,602,606.0,467,77.1,,,*,*,391,64.95,23,3.82,*,*,*,*,,,184,30.56,*,*,*,*,*,*,,1004 N Jefferson Avenue,,St. Louis ,631062203,3142310413.0,3142411213.0,6,8,39.0,447.0,0.0,447.0, ,Y, , , , ,115-115-3070,False,True,False,38.6393570055437,-90.2120450093467
473,2004,115115,ST. LOUIS CITY,3070,CARR LANE VPA MIDDLE,595,590.0,461,78.1,,,*,*,396,66.55,11,1.85,*,*,*,*,,,182,30.59,*,*,*,*,*,*,,1004 N Jefferson Avenue,,St. Louis ,631062203,3142310413.0,3142411213.0,6,8,39.0,447.0,0.0,447.0, ,Y, , , , ,115-115-3070,False,True,False,38.6393570055437,-90.2120450093467
474,2005,115115,ST. LOUIS CITY,3070,CARR LANE VPA MIDDLE,577,573.0,510,89,,,*,*,370,64.12,20,3.47,*,*,*,*,,,175,30.33,*,*,*,*,*,*,,1004 N Jefferson Avenue,,St. Louis ,631062203,3142310413.0,3142411213.0,6,8,39.0,447.0,0.0,447.0, ,Y, , , , ,115-115-3070,False,True,False,38.6393570055437,-90.2120450093467
475,2006,115115,ST. LOUIS CITY,3070,CARR LANE VPA MIDDLE,545,530.0,429,,,,*,*,370,67.89,17,3.12,6,1.1,*,*,,,143,26.24,*,*,*,*,120,22.02,80.9,1004 N Jefferson Avenue,,St. Louis ,631062203,3142310413.0,3142411213.0,6,8,39.0,447.0,0.0,447.0, ,Y, , , , ,115-115-3070,False,True,False,38.6393570055437,-90.2120450093467
476,2007,115115,ST. LOUIS CITY,3070,CARR LANE VPA MIDDLE,535,528.0,430,,,,*,*,399,74.58,18,3.36,*,*,*,*,,,107,20,*,*,*,*,108,20.19,81.4,1004 N Jefferson Avenue,,St. Louis ,631062203,3142310413.0,3142411213.0,6,8,39.0,447.0,0.0,447.0, ,Y, , , , ,115-115-3070,False,True,False,38.6393570055437,-90.2120450093467
477,2008,115115,ST. LOUIS CITY,3070,CARR LANE VPA MIDDLE,480,471.0,367,,,,5,1.04,384,80,13,2.71,*,*,*,*,,,74,15.42,*,*,*,*,100,20.83,77.9,1004 N Jefferson Avenue,,St. Louis ,631062203,3142310413.0,3142411213.0,6,8,39.0,447.0,0.0,447.0, ,Y, , , , ,115-115-3070,False,True,False,38.6393570055437,-90.2120450093467
478,2009,115115,ST. LOUIS CITY,3070,CARR LANE VPA MIDDLE,428,415.0,294,,,,*,*,339,79.21,13,3.04,*,*,*,*,,,69,16.12,*,*,*,*,71,16.59,70.8,1004 N Jefferson Avenue,,St. Louis ,631062203,3142310413.0,3142411213.0,6,8,39.0,447.0,0.0,447.0, ,Y, , , , ,115-115-3070,False,True,False,38.6393570055437,-90.2120450093467
479,2010,115115,ST. LOUIS CITY,3070,CARR LANE VPA MIDDLE,503,501.0,424,,,,6,1.19,416,82.7,16,3.18,*,*,*,*,,,61,12.13,11,2.19,*,*,75,14.91,84.6,1004 N Jefferson Avenue,,St. Louis ,631062203,3142310413.0,3142411213.0,6,8,39.0,447.0,0.0,447.0, ,Y, , , , ,115-115-3070,False,True,False,38.6393570055437,-90.2120450093467
480,2011,115115,ST. LOUIS CITY,3070,CARR LANE VPA MIDDLE,551,531.0,462,,*,*,,,478,86.75,14,2.54,*,*,*,*,*,*,54,9.8,6,1.09,*,*,85,15.43,87,1004 N Jefferson Avenue,,St. Louis ,631062203,3142310413.0,3142411213.0,6,8,39.0,447.0,0.0,447.0, ,Y, , , , ,115-115-3070,False,True,False,38.6393570055437,-90.2120450093467
481,2012,115115,ST. LOUIS CITY,3070,CARR LANE VPA MIDDLE,516,517.0,456,,*,*,,,457,88.57,17,3.29,*,*,*,*,*,*,34,6.59,6,1.16,*,*,96,18.6,88.2,1004 N Jefferson Avenue,,St. Louis ,631062203,3142310413.0,3142411213.0,6,8,39.0,447.0,0.0,447.0, ,Y, , , , ,115-115-3070,False,True,False,38.6393570055437,-90.2120450093467
482,2013,115115,ST. LOUIS CITY,3070,CARR LANE VPA MIDDLE,559,532.0,510,,7,1.25,,,502,89.8,15,2.68,5,0.89,*,*,*,*,30,5.37,5,0.89,*,*,81,14.49,95.9,1004 N Jefferson Avenue,,St. Louis ,631062203,3142310413.0,3142411213.0,6,8,39.0,447.0,0.0,447.0, ,Y, , , , ,115-115-3070,False,True,False,38.6393570055437,-90.2120450093467
483,2014,115115,ST. LOUIS CITY,3070,CARR LANE VPA MIDDLE,610,605.0,563,,*,*,,,562,92.13,13,2.13,*,*,*,*,*,*,28,4.59,6,0.98,*,*,80,13.11,93.1,1004 N Jefferson Avenue,,St. Louis ,631062203,3142310413.0,3142411213.0,6,8,39.0,447.0,0.0,447.0, ,Y, , , , ,115-115-3070,False,True,False,38.6393570055437,-90.2120450093467
484,2015,115115,ST. LOUIS CITY,3070,CARR LANE VPA MIDDLE,557,540.0,*,,*,*,,,522,93.72,10,1.8,*,*,*,*,*,*,21,3.77,*,*,*,*,93,16.7,*,1004 N Jefferson Avenue,,St. Louis ,631062203,3142310413.0,3142411213.0,6,8,39.0,447.0,0.0,447.0, ,Y, , , , ,115-115-3070,False,True,False,38.6393570055437,-90.2120450093467
485,2016,115115,ST. LOUIS CITY,3070,CARR LANE VPA MIDDLE,563,550.0,*,,*,*,,,535,95.03,6,1.07,*,*,*,*,*,*,18,3.2,*,*,*,*,91,16.16,*,1004 N Jefferson Avenue,,St. Louis ,631062203,3142310413.0,3142411213.0,6,8,39.0,447.0,0.0,447.0, ,Y, , , , ,115-115-3070,False,True,False,38.6393570055437,-90.2120450093467
486,2017,115115,ST. LOUIS CITY,3070,CARR LANE VPA MIDDLE,545,528.0,*,,*,*,,,518,95.05,5,0.92,*,*,*,*,*,*,21,3.85,*,*,*,*,90,16.51,*,1004 N Jefferson Avenue,,St. Louis ,631062203,3142310413.0,3142411213.0,6,8,39.0,447.0,0.0,447.0, ,Y, , , , ,115-115-3070,False,True,False,38.6393570055437,-90.2120450093467
487,2018,115115,ST. LOUIS CITY,3070,CARR LANE VPA MIDDLE,543,501.0,*,,*,*,,,513,94.48,5,0.92,*,*,*,*,*,*,25,4.6,*,*,*,*,87,16.02,*,1004 N Jefferson Avenue,,St. Louis ,631062203,3142310413.0,3142411213.0,6,8,39.0,447.0,0.0,447.0, ,Y, , , , ,115-115-3070,False,True,False,38.6393570055437,-90.2120450093467
488,2019,115115,ST. LOUIS CITY,3070,CARR LANE VPA MIDDLE,448,448.0,*,,*,*,,,427,95.31,8,1.79,*,*,*,*,*,*,13,2.9,*,*,*,*,80,17.86,*,1004 N Jefferson Avenue,,St. Louis ,631062203,3142310413.0,3142411213.0,6,8,39.0,447.0,0.0,447.0, ,Y, , , , ,115-115-3070,False,True,False,38.6393570055437,-90.2120450093467
489,2020,115115,ST. LOUIS CITY,3070,CARR LANE VPA MIDDLE,504,477.0,*,,*,*,,,485,96.23,7,1.39,*,*,*,*,*,*,12,2.38,6,1.19,*,*,77,15.28,*,1004 N Jefferson Avenue,,St. Louis ,631062203,3142310413.0,3142411213.0,6,8,39.0,447.0,0.0,447.0, ,Y, , , , ,115-115-3070,False,True,False,38.6393570055437,-90.2120450093467
490,2000,115115,ST. LOUIS CITY,3110,BUNCHE INTERNATIONAL STUDIES,416,463.0,395,85.3,,,*,*,246,59.13,14,3.37,*,*,*,*,,,138,33.17,*,*,*,*,*,*,,4257 Clarence Ave,,St. Louis,63115,,,,,,,,,,,,,,,115-115-3110,False,True,False,38.675429951778966,-90.23094055675318
491,2001,115115,ST. LOUIS CITY,3110,BUNCHE INTERNATIONAL STUDIES,445,411.0,344,83.7,,,*,*,270,60.67,22,4.94,*,*,*,*,,,130,29.21,*,*,*,*,*,*,,4257 Clarence Ave,,St. Louis,63115,,,,,,,,,,,,,,,115-115-3110,False,True,False,38.675429951778966,-90.23094055675318
492,2002,115115,ST. LOUIS CITY,3110,BUNCHE INTERNATIONAL STUDIES,298,291.0,245,84.2,,,*,*,204,68.46,14,4.7,*,*,*,*,,,63,21.14,*,*,*,*,*,*,,4257 Clarence Ave,,St. Louis,63115,,,,,,,,,,,,,,,115-115-3110,False,True,False,38.675429951778966,-90.23094055675318
493,2003,115115,ST. LOUIS CITY,3110,BUNCHE INTERNATIONAL STUDIES,275,277.0,233,84.1,,,*,*,188,68.36,18,6.55,*,*,*,*,,,53,19.27,*,*,*,*,*,*,,4257 Clarence Ave,,St. Louis,63115,,,,,,,,,,,,,,,115-115-3110,False,True,False,38.675429951778966,-90.23094055675318
494,2004,115115,ST. LOUIS CITY,3110,BUNCHE INTERNATIONAL STUDIES,294,291.0,246,84.5,,,*,*,189,64.29,26,8.84,*,*,*,*,,,70,23.81,*,*,*,*,*,*,,4257 Clarence Ave,,St. Louis,63115,,,,,,,,,,,,,,,115-115-3110,False,True,False,38.675429951778966,-90.23094055675318
495,2005,115115,ST. LOUIS CITY,3110,BUNCHE INTERNATIONAL STUDIES,364,373.0,340,91.2,,,*,*,232,63.74,43,11.81,*,*,*,*,,,75,20.6,*,*,*,*,*,*,,3125 S Kingshighway Boulevard,,St. Louis ,631391027,,,,,,,,,,,,,,,115-115-3110,False,True,False,38.60448698913888,-90.27038900659903
496,2006,115115,ST. LOUIS CITY,3110,BUNCHE INTERNATIONAL STUDIES,354,337.0,297,,,,*,*,223,62.99,48,13.56,*,*,*,*,,,68,19.21,*,*,*,*,49,13.84,88.1,3125 S Kingshighway Boulevard,,St. Louis ,631391027,,,,,,,,,,,,,,,115-115-3110,False,True,False,38.60448698913888,-90.27038900659903
497,2007,115115,ST. LOUIS CITY,3110,BUNCHE INTERNATIONAL STUDIES,283,274.0,220,,,,*,*,174,61.48,41,14.49,*,*,*,*,,,56,19.79,*,*,*,*,38,13.43,80.3,3125 S Kingshighway Boulevard,,St. Louis ,631391027,,,,,,,,,,,,,,,115-115-3110,False,True,False,38.60448698913888,-90.27038900659903
498,2008,115115,ST. LOUIS CITY,3110,BUNCHE INTERNATIONAL STUDIES,244,241.0,183,,,,12,4.92,159,65.16,32,13.11,*,*,*,*,,,41,16.8,*,*,*,*,39,15.98,75.9,1118 South 7th St.,,St. Louis ,631040000,,,,,,,,,,,,,,,115-115-3110,False,True,False,38.61625400773076,-90.19580297646849
499,2009,115115,ST. LOUIS CITY,3110,BUNCHE INTERNATIONAL STUDIES,259,248.0,196,,,,10,3.86,185,71.43,27,10.42,*,*,*,*,,,36,13.9,*,*,*,*,34,13.13,79,1118 South 7th St.,,St. Louis ,631040000,,,,,,,,,,,,,,,115-115-3110,False,True,False,38.61625400773076,-90.19580297646849
500,2010,115115,ST. LOUIS CITY,3110,BUNCHE INTERNATIONAL STUDIES,294,296.0,267,,,,17,5.78,223,75.85,23,7.82,*,*,*,*,,,30,10.2,46,15.65,*,*,33,11.22,90.2,1118 South 7th St.,,St. Louis ,631040000,,,,,,,,,,,,,,,115-115-3110,False,True,False,38.61625400773076,-90.19580297646849
501,2011,115115,ST. LOUIS CITY,3110,BUNCHE INTERNATIONAL STUDIES,178,171.0,161,,11,6.18,,,138,77.53,15,8.43,*,*,*,*,*,*,14,7.87,27,15.17,*,*,18,10.11,94.2,1118 South 7th St.,,St. Louis ,631040000,,,,,,,,,,,,,,,115-115-3110,False,True,False,38.61625400773076,-90.19580297646849
502,2000,115115,ST. LOUIS CITY,3130,MCKINLEY/CLASSICAL JR. ACAD.,349,357.0,118,33.1,,,*,*,162,46.42,*,*,*,*,*,*,,,173,49.57,*,*,*,*,*,*,,2156 Russell Boulevard,,St. Louis ,631042607,,,,,,,,,,,,,,,115-115-3130,False,True,False,38.610000982233316,-90.21919502421245
503,2001,115115,ST. LOUIS CITY,3130,MCKINLEY/CLASSICAL JR. ACAD.,390,383.0,142,37.1,,,*,*,181,46.41,*,*,*,*,*,*,,,196,50.26,*,*,*,*,*,*,,2156 Russell Boulevard,,St. Louis ,631042607,,,,,,,,,,,,,,,115-115-3130,False,True,False,38.610000982233316,-90.21919502421245
504,2002,115115,ST. LOUIS CITY,3130,MCKINLEY/CLASSICAL JR. ACAD.,404,408.0,140,34.3,,,*,*,194,48.02,*,*,*,*,*,*,,,195,48.27,*,*,*,*,*,*,,2156 Russell Boulevard,,St. Louis ,631042607,,,,,,,,,,,,,,,115-115-3130,False,True,False,38.610000982233316,-90.21919502421245
505,2003,115115,ST. LOUIS CITY,3130,MCKINLEY/CLASSICAL JR. ACAD.,456,450.0,174,38.7,,,*,*,233,51.1,*,*,*,*,*,*,,,208,45.61,*,*,*,*,*,*,,2156 Russell Boulevard,,St. Louis ,631042607,,,,,,,,,,,,,,,115-115-3130,False,True,False,38.610000982233316,-90.21919502421245
506,2004,115115,ST. LOUIS CITY,3130,MCKINLEY/CLASSICAL JR. ACAD.,396,395.0,149,37.7,,,*,*,213,53.79,*,*,*,*,*,*,,,169,42.68,*,*,*,*,*,*,,2156 Russell Boulevard,,St. Louis ,631042607,,,,,,,,,,,,,,,115-115-3130,False,True,False,38.610000982233316,-90.21919502421245
507,2005,115115,ST. LOUIS CITY,3130,MCKINLEY/CLASSICAL JR. ACAD.,377,376.0,148,39.4,,,*,*,199,52.79,6,1.59,*,*,*,*,,,158,41.91,*,*,*,*,*,*,,2156 Russell Boulevard,,St. Louis ,631042607,,,,,,,,,,,,,,,115-115-3130,False,True,False,38.610000982233316,-90.21919502421245
508,2006,115115,ST. LOUIS CITY,3130,MCKINLEY/CLASSICAL JR. ACAD.,310,304.0,127,,,,*,*,167,53.87,*,*,*,*,*,*,,,127,40.97,*,*,*,*,14,4.52,41.8,2156 Russell Boulevard,,St. Louis ,631042607,,,,,,,,,,,,,,,115-115-3130,False,True,False,38.610000982233316,-90.21919502421245
509,2007,115115,ST. LOUIS CITY,3130,MCKINLEY/CLASSICAL JR. ACAD.,297,293.0,112,,,,*,*,152,51.18,6,2.02,*,*,*,*,,,122,41.08,*,*,*,*,11,3.7,38.2,2156 Russell Boulevard,,St. Louis ,631042607,,,,,,,,,,,,,,,115-115-3130,False,True,False,38.610000982233316,-90.21919502421245
510,2008,115115,ST. LOUIS CITY,3130,MCKINLEY/CLASSICAL JR. ACAD.,305,304.0,111,,,,21,6.89,148,48.52,8,2.62,*,*,*,*,,,127,41.64,*,*,*,*,11,3.61,36.5,2156 Russell Boulevard,,St. Louis ,631042607,,,,,,,,,,,,,,,115-115-3130,False,True,False,38.610000982233316,-90.21919502421245
511,2009,115115,ST. LOUIS CITY,3130,MCKINLEY/CLASSICAL JR. ACAD.,333,324.0,128,,,,24,7.21,160,48.05,9,2.7,*,*,*,*,,,139,41.74,*,*,*,*,12,3.6,39.5,2156 Russell Boulevard,,St. Louis ,631042607,,,,,,,,,,,,,,,115-115-3130,False,True,False,38.610000982233316,-90.21919502421245
512,2010,115115,ST. LOUIS CITY,3130,MCKINLEY/CLASSICAL JR. ACAD.,331,321.0,158,,,,19,5.74,161,48.64,9,2.72,*,*,*,*,,,139,41.99,8,2.42,*,*,12,3.63,49.2,2156 Russell Boulevard,,St. Louis ,631042607,,,,,,,,,,,,,,,115-115-3130,False,True,False,38.610000982233316,-90.21919502421245
513,2000,115115,ST. LOUIS CITY,3140,FANNING MIDDLE COMMUNITY ED.,432,416.0,381,91.6,,,*,*,323,74.77,6,1.39,*,*,*,*,,,72,16.67,*,*,*,*,*,*,,3417 Grace Avenue,,St. Louis ,631164710,3147721038.0,3147720437.0,6,8,20.0,167.0,0.0,167.0, ,Y, , , , ,115-115-3140,False,False,False,38.59568599080467,-90.24526400037355
514,2001,115115,ST. LOUIS CITY,3140,FANNING MIDDLE COMMUNITY ED.,405,431.0,399,92.6,,,*,*,310,76.54,18,4.44,*,*,*,*,,,60,14.81,*,*,*,*,*,*,,3417 Grace Avenue,,St. Louis ,631164710,3147721038.0,3147720437.0,6,8,20.0,167.0,0.0,167.0, ,Y, , , , ,115-115-3140,False,False,False,38.59568599080467,-90.24526400037355
515,2002,115115,ST. LOUIS CITY,3140,FANNING MIDDLE COMMUNITY ED.,431,415.0,401,96.6,,,*,*,331,76.8,6,1.39,*,*,*,*,,,72,16.71,*,*,*,*,*,*,,3417 Grace Avenue,,St. Louis ,631164710,3147721038.0,3147720437.0,6,8,20.0,167.0,0.0,167.0, ,Y, , , , ,115-115-3140,False,False,False,38.59568599080467,-90.24526400037355
516,2003,115115,ST. LOUIS CITY,3140,FANNING MIDDLE COMMUNITY ED.,376,378.0,353,93.4,,,*,*,304,80.85,11,2.93,*,*,*,*,,,44,11.7,*,*,*,*,*,*,,3417 Grace Avenue,,St. Louis ,631164710,3147721038.0,3147720437.0,6,8,20.0,167.0,0.0,167.0, ,Y, , , , ,115-115-3140,False,False,False,38.59568599080467,-90.24526400037355
517,2004,115115,ST. LOUIS CITY,3140,FANNING MIDDLE COMMUNITY ED.,318,305.0,293,96.1,,,*,*,248,77.99,21,6.6,*,*,*,*,,,18,5.66,*,*,*,*,*,*,,3417 Grace Avenue,,St. Louis ,631164710,3147721038.0,3147720437.0,6,8,20.0,167.0,0.0,167.0, ,Y, , , , ,115-115-3140,False,False,False,38.59568599080467,-90.24526400037355
518,2005,115115,ST. LOUIS CITY,3140,FANNING MIDDLE COMMUNITY ED.,278,287.0,251,87.5,,,*,*,218,78.42,28,10.07,*,*,*,*,,,23,8.27,*,*,*,*,*,*,,3417 Grace Avenue,,St. Louis ,631164710,3147721038.0,3147720437.0,6,8,20.0,167.0,0.0,167.0, ,Y, , , , ,115-115-3140,False,False,False,38.59568599080467,-90.24526400037355
519,2006,115115,ST. LOUIS CITY,3140,FANNING MIDDLE COMMUNITY ED.,285,317.0,277,,,,*,*,228,80,24,8.42,*,*,*,*,,,23,8.07,*,*,*,*,78,27.37,87.4,3417 Grace Avenue,,St. Louis ,631164710,3147721038.0,3147720437.0,6,8,20.0,167.0,0.0,167.0, ,Y, , , , ,115-115-3140,False,False,False,38.59568599080467,-90.24526400037355
520,2007,115115,ST. LOUIS CITY,3140,FANNING MIDDLE COMMUNITY ED.,325,300.0,264,,,,*,*,251,77.23,17,5.23,*,*,*,*,,,40,12.31,*,*,*,*,78,24,88,3417 Grace Avenue,,St. Louis ,631164710,3147721038.0,3147720437.0,6,8,20.0,167.0,0.0,167.0, ,Y, , , , ,115-115-3140,False,False,False,38.59568599080467,-90.24526400037355
521,2008,115115,ST. LOUIS CITY,3140,FANNING MIDDLE COMMUNITY ED.,289,284.0,235,,,,18,6.23,233,80.62,12,4.15,*,*,*,*,,,26,9,*,*,*,*,79,27.34,82.7,3417 Grace Avenue,,St. Louis ,631164710,3147721038.0,3147720437.0,6,8,20.0,167.0,0.0,167.0, ,Y, , , , ,115-115-3140,False,False,False,38.59568599080467,-90.24526400037355
522,2009,115115,ST. LOUIS CITY,3140,FANNING MIDDLE COMMUNITY ED.,333,340.0,259,,,,13,3.9,283,84.98,11,3.3,*,*,*,*,,,26,7.81,*,*,*,*,85,25.53,76.2,3417 Grace Avenue,,St. Louis ,631164710,3147721038.0,3147720437.0,6,8,20.0,167.0,0.0,167.0, ,Y, , , , ,115-115-3140,False,False,False,38.59568599080467,-90.24526400037355
523,2010,115115,ST. LOUIS CITY,3140,FANNING MIDDLE COMMUNITY ED.,378,386.0,339,,,,25,6.61,325,85.98,8,2.12,*,*,*,*,,,20,5.29,63,16.67,*,*,86,22.75,87.8,3417 Grace Avenue,,St. Louis ,631164710,3147721038.0,3147720437.0,6,8,20.0,167.0,0.0,167.0, ,Y, , , , ,115-115-3140,False,False,False,38.59568599080467,-90.24526400037355
524,2011,115115,ST. LOUIS CITY,3140,FANNING MIDDLE COMMUNITY ED.,353,384.0,359,,25,7.08,,,293,83,14,3.97,*,*,*,*,*,*,21,5.95,62,17.56,*,*,91,25.78,93.5,3417 Grace Avenue,,St. Louis ,631164710,3147721038.0,3147720437.0,6,8,20.0,167.0,0.0,167.0, ,Y, , , , ,115-115-3140,False,False,False,38.59568599080467,-90.24526400037355
525,2012,115115,ST. LOUIS CITY,3140,FANNING MIDDLE COMMUNITY ED.,374,380.0,366,,23,6.15,,,311,83.16,21,5.61,*,*,*,*,*,*,19,5.08,51,13.64,*,*,79,21.12,96.3,3417 Grace Avenue,,St. Louis ,631164710,3147721038.0,3147720437.0,6,8,20.0,167.0,0.0,167.0, ,Y, , , , ,115-115-3140,False,False,False,38.59568599080467,-90.24526400037355
526,2013,115115,ST. LOUIS CITY,3140,FANNING MIDDLE COMMUNITY ED.,340,347.0,331,,22,6.47,,,288,84.71,10,2.94,*,*,*,*,*,*,20,5.88,44,12.94,*,*,74,21.76,95.4,3417 Grace Avenue,,St. Louis ,631164710,3147721038.0,3147720437.0,6,8,20.0,167.0,0.0,167.0, ,Y, , , , ,115-115-3140,False,False,False,38.59568599080467,-90.24526400037355
527,2014,115115,ST. LOUIS CITY,3140,FANNING MIDDLE COMMUNITY ED.,389,391.0,376,,26,6.68,,,334,85.86,14,3.6,*,*,*,*,*,*,15,3.86,53,13.62,*,*,73,18.77,96.2,3417 Grace Avenue,,St. Louis ,631164710,3147721038.0,3147720437.0,6,8,20.0,167.0,0.0,167.0, ,Y, , , , ,115-115-3140,False,False,False,38.59568599080467,-90.24526400037355
528,2015,115115,ST. LOUIS CITY,3140,FANNING MIDDLE COMMUNITY ED.,375,408.0,*,,19,5.07,,,331,88.27,12,3.2,*,*,*,*,*,*,13,3.47,54,14.4,*,*,70,18.67,*,3417 Grace Avenue,,St. Louis ,631164710,3147721038.0,3147720437.0,6,8,20.0,167.0,0.0,167.0, ,Y, , , , ,115-115-3140,False,False,False,38.59568599080467,-90.24526400037355
529,2016,115115,ST. LOUIS CITY,3140,FANNING MIDDLE COMMUNITY ED.,356,371.0,*,,7,1.97,,,320,89.89,6,1.69,*,*,*,*,*,*,23,6.46,24,6.74,*,*,75,21.07,*,3417 Grace Avenue,,St. Louis ,631164710,3147721038.0,3147720437.0,6,8,20.0,167.0,0.0,167.0, ,Y, , , , ,115-115-3140,False,False,False,38.59568599080467,-90.24526400037355
530,2017,115115,ST. LOUIS CITY,3140,FANNING MIDDLE COMMUNITY ED.,283,288.0,*,,*,*,,,261,92.23,*,*,*,*,*,*,*,*,16,5.65,19,6.71,*,*,75,26.5,*,3417 Grace Avenue,,St. Louis ,631164710,3147721038.0,3147720437.0,6,8,20.0,167.0,0.0,167.0, ,Y, , , , ,115-115-3140,False,False,False,38.59568599080467,-90.24526400037355
531,2018,115115,ST. LOUIS CITY,3140,FANNING MIDDLE COMMUNITY ED.,217,219.0,*,,*,*,,,196,90.32,*,*,*,*,*,*,*,*,17,7.83,12,5.53,*,*,52,23.96,*,3417 Grace Avenue,,St. Louis ,631164710,3147721038.0,3147720437.0,6,8,20.0,167.0,0.0,167.0, ,Y, , , , ,115-115-3140,False,False,False,38.59568599080467,-90.24526400037355
532,2019,115115,ST. LOUIS CITY,3140,FANNING MIDDLE COMMUNITY ED.,191,201.0,*,,*,*,,,172,90.05,*,*,*,*,*,*,*,*,13,6.81,5,2.62,*,*,55,28.8,*,3417 Grace Avenue,,St. Louis ,631164710,3147721038.0,3147720437.0,6,8,20.0,167.0,0.0,167.0, ,Y, , , , ,115-115-3140,False,False,False,38.59568599080467,-90.24526400037355
533,2020,115115,ST. LOUIS CITY,3140,FANNING MIDDLE COMMUNITY ED.,176,191.0,*,,*,*,,,162,92.05,*,*,*,*,*,*,*,*,12,6.82,*,*,*,*,62,35.23,*,3417 Grace Avenue,,St. Louis ,631164710,3147721038.0,3147720437.0,6,8,20.0,167.0,0.0,167.0, ,Y, , , , ,115-115-3140,False,False,False,38.59568599080467,-90.24526400037355
534,2000,115115,ST. LOUIS CITY,3210,HUMBOLDT MIDDLE,368,382.0,348,91.1,,,*,*,283,76.9,15,4.08,*,*,*,*,,,56,15.22,*,*,*,*,*,*,,2516 S. 9th St.,,St. Louis,631040000,,,,,,,,,,,,,,,115-115-3210,False,True,False,38.60140399942239,-90.20762598617357
